States,district,district_cases,recovered,deceased,tested,vaccinated1,vaccinated2
AN,Nicobars,0,0,0,0,25394,20313
AN,North and Middle Andaman,0,0,0,0,78945,59522
AN,South Andaman,0,0,0,0,189662,120322
AN,Unknown,7651,7518,129,0,0,0
AP,Anantapur,157843,156699,1093,787085,2690082,1611476
AP,Chittoor,246935,244144,1947,780322,2832987,1807873
AP,East Godavari,293836,291610,1290,944746,3532220,1990578
AP,Foreign Evacuees,434,434,0,0,0,0
AP,Guntur,178068,176629,1237,833823,3440118,1891773
AP,Krishna,119348,117130,1430,782232,2971604,1914927
AP,Kurnool,124142,123264,853,867361,2672759,1290419
AP,Other State,2461,2461,0,0,0,0
AP,Prakasam,138482,136989,1124,697340,2321031,1521177
AP,S.P.S. Nellore,146388,144919,1053,682964,2143402,1403240
AP,Srikakulam,123109,122136,786,670899,1630248,974734
AP,Visakhapatnam,157737,156492,1127,744983,2999432,1864960
AP,Vizianagaram,82967,82231,672,531433,1393491,996097
AP,West Godavari,179077,177680,1117,793098,2525317,1778807
AP,Y.S.R. Kadapa,115623,114904,644,671761,1824032,1328711
AR,Anjaw,1068,1065,3,2845,11695,7957
AR,Capital Complex,0,0,0,115210,0,0
AR,Changlang,3807,3780,22,23861,88857,55361
AR,East Kameng,1094,1094,0,7489,22931,15646
AR,East Siang,3206,3183,17,21867,54001,39434
AR,Kamle,512,512,0,1385,6946,3874
AR,Kra Daadi,270,270,0,3218,6275,3272
AR,Kurung Kumey,511,510,1,4201,9121,5601
AR,Lepa Rada,874,871,3,6747,13328,10176
AR,Lohit,2885,2851,26,14945,31120,22003
AR,Longding,752,749,2,10342,19259,7826
AR,Lower Dibang Valley,2426,2397,11,12169,32639,22089
AR,Lower Siang,738,730,8,7070,16565,9990
AR,Lower Subansiri,3036,3015,15,10564,26916,18827
AR,Namsai,2124,2102,17,19987,63539,47104
AR,Pakke Kessang,453,453,0,3327,8004,4998
AR,Papum Pare,18316,18212,98,41960,141168,100258
AR,Shi Yomi,262,261,0,2169,6910,5663
AR,Siang,411,408,3,4270,14408,9068
AR,Tawang,2577,2533,20,14224,29553,23287
AR,Tirap,1109,1102,5,14657,31565,21200
AR,Upper Dibang Valley,337,335,2,1910,4156,2603
AR,Upper Siang,1016,1015,1,6564,18594,13671
AR,Upper Subansiri,1958,1952,6,6217,24842,16390
AR,West Kameng,3545,3518,14,28155,55710,40321
AR,West Siang,1868,1856,6,13192,33773,27867
AS,Baksa,0,0,0,0,553967,136574
AS,Barpeta,0,0,0,0,1095048,448006
AS,Biswanath,0,0,0,0,456088,213437
AS,Bongaigaon,0,0,0,0,493242,183782
AS,Cachar,0,0,0,0,1101266,402535
AS,Charaideo,0,0,0,0,309125,111219
AS,Chirang,0,0,0,0,288696,102397
AS,Darrang,0,0,0,0,596783,183724
AS,Dhemaji,0,0,0,0,431792,184251
AS,Dhubri,0,0,0,0,945264,229696
AS,Dibrugarh,0,0,0,301657,914640,430800
AS,Dima Hasao,0,0,0,0,116318,62593
AS,Goalpara,0,0,0,0,662016,195521
AS,Golaghat,0,0,0,0,711564,306745
AS,Hailakandi,0,0,0,0,422295,146888
AS,Hojai,0,0,0,0,602504,274035
AS,Jorhat,0,0,0,0,649267,297724
AS,Kamrup,0,0,0,0,1079092,409628
AS,Kamrup Metropolitan,0,0,0,0,1246239,875897
AS,Karbi Anglong,0,0,0,0,284600,102798
AS,Karimganj,0,0,0,0,681216,203575
AS,Kokrajhar,0,0,0,0,538901,156488
AS,Lakhimpur,0,0,0,0,681386,301369
AS,Majuli,0,0,0,0,117599,82507
AS,Morigaon,0,0,0,0,592446,212146
AS,Nagaon,0,0,0,0,1203831,448081
AS,Nalbari,0,0,0,0,483076,168392
AS,Sivasagar,0,0,0,0,478954,223921
AS,Sonitpur,0,0,0,0,767841,434213
AS,South Salmara Mankachar,0,0,0,0,239906,76599
AS,Tinsukia,0,0,0,0,795057,286170
AS,Udalguri,0,0,0,24661,504439,133919
AS,Unknown,610645,600974,5997,0,0,0
AS,West Karbi Anglong,0,0,0,0,127612,42942
BR,Araria,14978,14859,116,219221,1177154,395227
BR,Arwal,7381,7307,74,101624,345175,116424
BR,Aurangabad,20011,19936,75,412007,1132482,407913
BR,Banka,7379,7267,112,364776,935177,351254
BR,Begusarai,27212,26754,457,213670,1430906,480982
BR,Bhagalpur,25840,25531,309,582113,1494951,650332
BR,Bhojpur,10210,10051,159,466438,1291186,382719
BR,Buxar,9248,9066,182,461428,907374,322555
BR,Darbhanga,10937,10567,370,448442,1869372,741553
BR,East Champaran,19017,18585,430,548132,2498559,1002939
BR,Gaya,33952,33672,280,872359,1925234,722746
BR,Gopalganj,16685,16591,94,562654,1286763,481968
BR,Jamui,9418,9312,106,342005,800488,222093
BR,Jehanabad,10783,10674,109,492255,498448,184446
BR,Kaimur,4984,4837,147,442332,801438,225437
BR,Katihar,18145,18051,94,556438,1451838,403046
BR,Khagaria,10064,9976,88,148340,775019,222012
BR,Kishanganj,10128,10057,66,294321,757066,205274
BR,Lakhisarai,7776,7674,102,332434,461970,138407
BR,Madhepura,12547,12435,111,455482,965767,260408
BR,Madhubani,18365,18023,339,715168,1974159,680214
BR,Munger,15111,14953,158,325212,707588,264665
BR,Muzaffarpur,31398,30777,621,722651,2253919,717015
BR,Nalanda,23432,22964,468,591346,1393762,638181
BR,Nawada,10353,10174,178,322514,1062349,274319
BR,Patna,147007,144651,2334,676238,3421614,2366474
BR,Purnia,24427,24247,180,568756,1603099,729224
BR,Rohtas,13980,13707,271,521553,1498172,465660
BR,Saharsa,17616,17482,134,356327,995618,366567
BR,Samastipur,20020,19864,155,614569,1991102,555728
BR,Saran,23278,23020,255,761473,1868014,736766
BR,Sheikhpura,7693,7618,75,142348,287209,95322
BR,Sheohar,4404,4368,36,199431,300967,108766
BR,Sitamarhi,9185,9058,127,453227,1511464,424182
BR,Siwan,15195,15025,170,536438,1670590,684755
BR,Supaul,17222,17093,129,456511,1069993,369925
BR,Vaishali,19827,19632,192,275884,1671469,478638
BR,West Champaran,20890,20532,358,551778,1784016,469332
CH,Chandigarh,65351,64495,820,792851,926035,546981
CT,Balod,27278,26880,396,2749,537459,271570
CT,Baloda Bazar,43085,42611,471,3816,617777,211945
CT,Balrampur,20302,20182,118,21481,305554,112777
CT,Bametara,19963,19726,236,3113,405388,132925
CT,Bastar,21066,20845,188,4522,443759,178775
CT,Bijapur,8324,8263,55,1239,103247,44245
CT,Bilaspur,65681,64448,1210,9823,1031494,525066
CT,Dakshin Bastar Dantewada,10840,10809,25,1168,158243,80855
CT,Dhamtari,27239,26690,545,1501,509782,224591
CT,Durg,96880,95028,1798,5020,1012391,525445
CT,Gariaband,19701,19506,194,2096,293987,99137
CT,Gaurela Pendra Marwahi,12011,11864,146,273,189474,79788
CT,Janjgir Champa,57636,56766,838,4016,896087,317605
CT,Jashpur,27093,26867,212,2542,435884,182747
CT,Kabeerdham,22771,22503,267,2829,402362,173494
CT,Kondagaon,13139,13036,99,1607,317695,100468
CT,Korba,54847,54228,580,10034,650457,287588
CT,Koriya,26980,26798,177,2689,375503,128177
CT,Mahasamund,31365,31000,365,2183,738333,428365
CT,Mungeli,23921,23753,167,2922,282508,109857
CT,Narayanpur,4019,4005,14,804,53032,19468
CT,Other State,805,666,131,0,0,0
CT,Raigarh,62590,61597,978,5084,1074306,967326
CT,Raipur,158035,154852,3139,12704,1557999,915437
CT,Rajnandgaon,56077,55557,515,124947,1028876,530711
CT,Sukma,8066,8041,20,1723,134654,81437
CT,Surajpur,29029,28805,224,1830,419247,163526
CT,Surguja,33673,33426,245,103578,468885,277031
CT,Uttar Bastar Kanker,23636,23407,224,2051,405744,171484
DL,Delhi,1439870,1414431,25091,29427753,13055636,7425404
DN,Dadra and Nagar Haveli,5920,5910,3,44813,387772,183553
DN,Daman,3543,3516,1,19338,234202,155547
DN,Diu,1218,1218,0,8259,38779,31153
GA,North Goa,0,0,0,0,600586,424066
GA,South Goa,0,0,0,0,661972,487016
GA,Unknown,178108,174392,3364,0,0,0
GJ,Ahmedabad,238334,234889,3411,2556492,5961594,3439921
GJ,Amreli,10810,10708,102,212265,927389,551970
GJ,Anand,9637,9581,49,171851,1471865,935893
GJ,Aravalli,5186,5108,78,122182,717964,522361
GJ,Banaskantha,13631,13469,162,218527,2140492,1157901
GJ,Bharuch,11426,11308,118,156057,1217587,669742
GJ,Bhavnagar,21447,21143,301,392834,1680398,986097
GJ,Botad,2218,2176,42,98559,378232,228691
GJ,Chhota Udaipur,3395,3357,38,93838,635695,420157
GJ,Dahod,9955,9917,38,218259,1499052,631818
GJ,Dang,866,848,18,31921,156334,59262
GJ,Devbhumi Dwarka,4175,4093,82,80424,504501,309771
GJ,Gandhinagar,20754,20549,205,292598,1175562,706208
GJ,Gir Somnath,8570,8499,67,121948,845224,363467
GJ,Jamnagar,34978,34494,478,307911,1111813,653950
GJ,Junagadh,20505,20226,272,199699,1316479,733025
GJ,Kheda,10439,10391,48,218140,1454344,893742
GJ,Kutch,12631,12474,145,267060,1412923,680232
GJ,Mahisagar,8194,8122,72,122796,815594,459520
GJ,Mehsana,24419,24242,177,229904,1405786,869969
GJ,Morbi,6502,6415,87,157321,674000,308840
GJ,Narmada,5955,5940,15,76134,413260,279684
GJ,Navsari,7215,7181,24,129099,948673,647484
GJ,Other State,162,159,3,108,0,0
GJ,Panchmahal,11770,11700,70,160981,1105110,626003
GJ,Patan,11624,11495,129,169059,850462,533438
GJ,Porbandar,3486,3467,19,97912,419364,256377
GJ,Rajkot,57976,57243,725,731251,2227111,1255012
GJ,Sabarkantha,9317,9159,157,182090,1000517,596705
GJ,Surat,143874,141885,1956,1938229,4781894,2529712
GJ,Surendranagar,8121,7985,136,201153,1113845,715931
GJ,Tapi,4441,4417,24,92524,527345,303297
GJ,Vadodara,78159,77335,788,695670,2612578,1940514
GJ,Valsad,6405,6308,53,155380,1232139,704675
HP,Bilaspur,14374,14120,85,39738,323204,234916
HP,Chamba,13687,13492,160,53505,364258,198146
HP,Hamirpur,17379,16741,287,46407,377332,269143
HP,Kangra,50818,48872,1125,94910,1182563,725754
HP,Kinnaur,3507,3465,38,6730,79673,63209
HP,Kullu,9692,9496,158,12012,351261,203549
HP,Lahaul and Spiti,2953,2935,18,540,31920,20986
HP,Mandi,31606,30983,448,41895,775242,479355
HP,Shimla,27549,26786,641,32922,678341,412640
HP,Sirmaur,15456,15244,211,42564,423793,209631
HP,Solan,22817,22472,314,57200,691163,339630
HP,Una,14268,13804,253,52905,434945,286819
HR,Ambala,30150,29639,509,206003,873020,571772
HR,Bhiwani,22409,21757,652,176225,741251,317765
HR,Charkhi Dadri,5078,4939,139,58525,364599,262184
HR,Faridabad,99902,99157,716,504970,1658940,840997
HR,Fatehabad,17875,17394,481,27456,574546,201763
HR,Gurugram,181428,180454,922,742619,2193114,1377160
HR,Hisar,53995,52857,1136,322039,994213,332162
HR,Jhajjar,18849,18514,328,186853,684511,293496
HR,Jind,21209,20675,533,11157,704573,250859
HR,Kaithal,11244,10898,346,11687,615168,217439
HR,Karnal,40037,39484,552,185147,1000120,451876
HR,Kurukshetra,22147,21789,357,198881,610380,248125
HR,Mahendragarh,21689,21534,155,143253,576527,264911
HR,Nuh,5014,4890,123,93389,354422,78081
