Dates,States,Daily Confirmed,Daily Recovered,Daily Deceased,Daily Tested,Daily Vaccinated
2020-03-26,AN,1,0,0,0,0
2020-03-27,AN,5,0,0,0,0
2020-03-28,AN,3,0,0,0,0
2020-03-29,AN,0,0,0,0,0
2020-03-30,AN,1,0,0,0,0
2020-03-31,AN,0,0,0,0,0
2020-04-01,AN,0,0,0,0,0
2020-04-02,AN,0,0,0,0,0
2020-04-03,AN,0,0,0,0,0
2020-04-04,AN,0,0,0,0,0
2020-04-05,AN,0,0,0,0,0
2020-04-06,AN,0,0,0,0,0
2020-04-07,AN,0,0,0,0,0
2020-04-08,AN,1,0,0,0,0
2020-04-09,AN,0,10,0,0,0
2020-04-10,AN,0,0,0,0,0
2020-04-11,AN,0,0,0,0,0
2020-04-12,AN,0,0,0,0,0
2020-04-13,AN,0,0,0,0,0
2020-04-14,AN,0,0,0,0,0
2020-04-15,AN,0,0,0,0,0
2020-04-16,AN,0,1,0,0,0
2020-04-17,AN,1,0,0,1403,0
2020-04-18,AN,2,0,0,0,0
2020-04-19,AN,1,0,0,0,0
2020-04-20,AN,1,0,0,0,0
2020-04-21,AN,1,0,0,0,0
2020-04-22,AN,1,0,0,0,0
2020-04-23,AN,4,0,0,0,0
2020-04-24,AN,7,0,0,1276,0
2020-04-25,AN,4,0,0,0,0
2020-04-26,AN,0,0,0,0,0
2020-04-27,AN,0,0,0,169,0
2020-04-28,AN,0,4,0,0,0
2020-04-29,AN,0,0,0,0,0
2020-04-30,AN,0,1,0,0,0
2020-05-01,AN,0,0,0,906,0
2020-05-02,AN,0,10,0,0,0
2020-05-03,AN,0,6,0,0,0
2020-05-04,AN,0,0,0,0,0
2020-05-05,AN,0,0,0,0,0
2020-05-06,AN,0,0,0,0,0
2020-05-07,AN,0,1,0,0,0
2020-05-08,AN,0,0,0,0,0
2020-05-09,AN,0,0,0,0,0
2020-05-10,AN,0,0,0,0,0
2020-05-11,AN,0,0,0,0,0
2020-05-12,AN,0,0,0,0,0
2020-05-13,AN,0,0,0,0,0
2020-05-14,AN,0,0,0,0,0
2020-05-15,AN,0,0,0,0,0
2020-05-16,AN,0,0,0,2923,0
2020-05-17,AN,0,0,0,0,0
2020-05-18,AN,0,0,0,0,0
2020-05-19,AN,0,0,0,288,0
2020-05-20,AN,0,0,0,117,0
2020-05-21,AN,0,0,0,85,0
2020-05-22,AN,0,0,0,96,0
2020-05-23,AN,0,0,0,64,0
2020-05-24,AN,0,0,0,0,0
2020-05-25,AN,0,0,0,36,0
2020-05-26,AN,0,0,0,85,0
2020-05-27,AN,0,0,0,51,0
2020-05-28,AN,0,0,0,20,0
2020-05-29,AN,0,0,0,48,0
2020-05-30,AN,0,0,0,0,0
2020-05-31,AN,0,0,0,139,0
2020-06-01,AN,0,0,0,99,0
